1047733	Tarsius spectrumgurskyae	Gursky's Spectral Tarsier
1067837	Fidicina toulgoeti	Fidicina toulgoeti
1075514	Colobus guereza	Mantled Guereza
1120331	Cicadatra hyalina	Cicadatra hyalina
1121926	Tibicina steveni	Tibicina steveni
1125828	Buergeria choui	Yaeyama Kajika Frog
1142934	Eopycna repanda	Eopycna repanda
116703	Stauroderus scalaris	Ladder Grasshopper
1169252	Oligoglena tibialis	Oligoglena tibialis
117313	Gomphocerippus rufus	Rufous Grasshopper
1176764	Indosylvirana nicobariensis	Nicobarese Frog
1176823	Leptodactylus luctator	Wrestler Frog
118894	Gryllotalpa orientalis	Oriental Mole Cricket
118951	Pterophylla camellifolia	Common True Katydid
118961	Conocephalus brevipennis	Short-winged Meadow Katydid
118970	Bombus impatiens	Common Eastern Bumble Bee
119928	Diceroprocta cinctifera	Diceroprocta cinctifera
120032	Oecanthus pini	Pine Tree Cricket
120791	Fejervarya multistriata	Hong Kong Rice-paddy Frog
121026	Lama glama	Llama
1210966	Lupulella mesomelas	Black-backed Jackal
121578	Ovis aries	Domestic Sheep
122193	Gryllus pennsylvanicus	Fall Field Cricket
122214	Odontotaenius disjunctus	Horned Passalid
123070	Capra hircus	Domestic Goat
1250330	Hylambates maculatus	Red-legged Wot-wot
1251425	Boana platanera	Banana Tree Dwelling Frog
126247	Leptodactylus insularum	Spotted Foam-nest Frog
1264432	Neogale vison	American Mink
127182	Decticus albifrons	White-faced Bush-cricket
127308	Chorthippus brunneus	Common Field Grasshopper
1273308	Tomopterna adiastola	Confused Sand frog
1279886	Petaurista grandis	Taiwan Giant Flying Squirrel
1289591	Leucocarbo atriceps	Imperial Shag
129135	Gryllus veletis	Spring Field Cricket
131035	Leptophyes punctatissima	Speckled Bush-cricket
1319807	Pelophylax ridibundus	Marsh Frog
132319	Myrmeleotettix maculatus	Mottled Grasshopper
132419	Omocestus viridulus	Common Green Grasshopper
133220	Acheta domesticus	House Cricket
133250	Tettigonia viridissima	Great Green Bush-cricket
134277	Gastrophryne olivacea	Western Narrow-mouthed Toad
134693	Bufo spinosus	Spiny Toad
134788	Polypedates braueri	Taiwan Whipping Frog
134933	Espadarana prosoblepon	Emerald Glass Frog
134934	Eupsophus calcaratus	Chiloe Island Ground Frog
134935	Fejervarya cancrivora	Crab-eating Frog
134940	Hyperolius kivuensis	Kivu Reed Frog
134941	Hyperolius marginatus	Margined Reed Frog
134964	Proceratophrys boiei	Bahia Smooth-horned Frog
135011	Adenomera andreae	Cocha Chirping Frog
135018	Adenomera hylaedactyla	Forest Chirping Frog
135027	Agalychnis dacnicolor	Mexican Giant Tree Frog
135045	Andinobates opisthomelas	Andean Poison Frog
135111	Lithodytes lineatus	Painted Antnest Frog
135147	Vitreorana parvula	Lages Glass Frog
1369296	Cebus imitator	Central American White-faced Capuchin
143905	Anabrus simplex	Mormon Cricket
1449342	Odontophrynus asper	Odontophrynus asper
1453013	Bufotes viridis	Green Toad
1463115	Acanthoventris drewseni	Acanthoventris drewseni
146737	Velarifictorus micado	Japanese Burrowing Cricket
146891	Eunemobius carolinus	Carolina Ground Cricket
147950	Decticus verrucivorus	Wart-biter
148030	Equus asinus	Donkey
1511713	Otospermophilus douglasii	Douglas's Ground Squirrel
153394	Trimerotropis verruculata	Crackling Forest Grasshopper
1541549	Eleutherodactylus montserratae	Montserrat Whistling Frog
154340	Gryllodes sigillatus	Tropical House Cricket
1545223	Limnodynastes grayi	Scarlet-sided Banjo Frog
1546001	Sciurus brasiliensis	Brazilian Squirrel
154672	Metrioptera brachyptera	Bog Bush-cricket
1558164	Pelophylax lessonae	Pool Frog
1572860	Corypha africana	Rufous-naped Lark
1573649	Corypha hypermetra	Red-winged Lark
1578502	Tyto furcata	American Barn Owl
1578907	Pachycephala calliope	Tenggara Whistler
1583576	Pogoniulus uropygialis	Northern Red-fronted Tinkerbird
1668858	Dryophytes cinereus	Green Treefrog
1668859	Dryophytes squirellus	Squirrel Tree Frog
1668922	Dryophytes chrysoscelis	Cope's Gray Tree Frog
1668923	Dryophytes versicolor	Gray Treefrog
1668926	Dryophytes arenicolor	Canyon Tree Frog
1668952	Dryophytes eximius	Mountain Tree Frog
1668965	Dryophytes japonicus	Japanese Tree Frog
179988	Ictidomys tridecemlineatus	Thirteen-lined Ground Squirrel
197810	Neotamias merriami	Merriam's Chipmunk
199795	Scinax tymbamirim	Coastal Snouted Tree Frog
204113	Cervus elaphus	Red Deer
204114	Cervus canadensis	Wapiti
205176	Cyclochila australasiae	Green Grocer
207999	Psaltoda claripennis	Clanger
208010	Psaltoda moerens	Redeye Cicada
208180	Thopha sessiliba	Northern Double Drummer
208182	Arunta perulata	White Drummer
208185	Burbunga queenslandica	Queensland Bark Cicada
208187	Macrotristria angularis	Cherrynose
209233	Equus caballus	Domestic Horse
210400	Myotis nattereri	Natterer's Bat
210942	Caedicia simplex	Australian Common Garden Katydid
21211	Allobates femoralis	Spotted-thighed Poison Frog
21231	Teratohyla midas	Santa Cecilia Glass Frog
213545	Anaxipha exigua	Say's Trig
214956	Beameria venosa	Aridland Cicada
216777	Chloealtis abdominalis	Rocky Mountain Sprinkled Locust
21861	Schismaderma carens	African Red Toad
22028	Limnodynastes salmini	Salmon-striped Frog
22033	Limnodynastes fletcheri	Barking Frog
22036	Limnodynastes tasmaniensis	Spotted Marsh Frog
22038	Limnodynastes dumerilii	Eastern Banjo Frog
22039	Limnodynastes peronii	Striped Marsh Frog
22333	Eleutherodactylus johnstonei	Lesser Antillean whistling frog
225604	Neoconocephalus triops	Broad-tipped Conehead
225793	Neoxabea bipunctata	Two-spotted Tree Cricket
226220	Oecanthus californicus	Western Tree Cricket
226221	Oecanthus niveus	Narrow-winged Tree Cricket
226222	Oecanthus quadripunctatus	Four-spotted Tree Cricket
22631	Eleutherodactylus planirostris	Greenhouse Frog
22849	Ceratophrys ornata	Bell's Horned Frog
22930	Leptodactylus syphax	Basin White-lipped Frog
22933	Leptodactylus natalensis	Rio Bahu White-lipped Frog
22951	Leptodactylus melanonotus	Sabinal Frog
22955	Leptodactylus troglodytes	Sibilator Frog
22956	Leptodactylus mystacinus	Mustached Frog
22957	Leptodactylus pentadactylus	Smoky Jungle Frog
22960	Leptodactylus rhodomystax	Loreto White-lipped Frog
22961	Leptodactylus podicipinus	Pointedbelly Frog
22967	Leptodactylus elenae	Marbled White-lipped Frog
22973	Leptodactylus fuscus	Whistling Grass Frog
22974	Leptodactylus latinasus	Oven Frog
